總類,起始,結束,版本
R,0FBD,0FBD,0
C,0FBE,0FCC,3.0
R,0FCD,0FCD,0
C,0FCE,0FCE,5.1
C,0FCF,0FCF,3.0
C,0FD0,0FD1,4.1
C,0FD2,0FD4,5.1
C,0FD5,0FD8,5.2
C,0FD9,0FDA,6.0
R,0FDB,0FFF,0
C,1000,1021,3.0
C,1022,1022,5.1
C,1023,1027,3.0
C,1028,1028,5.1
C,1029,102A,3.0
C,102B,102B,5.1
C,102C,1032,3.0
C,1033,1035,5.1
C,1036,1039,3.0
C,103A,103F,5.1
C,1040,1059,3.0
C,105A,1099,5.1
C,109A,109D,5.2
C,109E,109F,5.1
C,10A0,10C5,1.1
R,10C6,10C6,0
C,10C7,10C7,6.1
R,10C8,10CC,0
C,10CD,10CD,6.1
R,10CE,10CF,0
C,10D0,10F6,1.1
C,10F7,10F8,3.2
C,10F9,10FA,4.1
C,10FB,10FB,1.1
C,10FC,10FC,4.1
C,10FD,10FF,6.1
C,1100,1159,1.1
C,115A,115E,5.2
C,115F,11A2,1.1
C,11A3,11A7,5.2
C,11A8,11F9,1.1
C,11FA,11FF,5.2
C,1200,1206,3.0
C,1207,1207,4.1
C,1208,1246,3.0
C,1247,1247,4.1
C,1248,1248,3.0
R,1249,1249,0
C,124A,124D,3.0
R,124E,124F,0
C,1250,1256,3.0
R,1257,1257,0
C,1258,1258,3.0
R,1259,1259,0
C,125A,125D,3.0
R,125E,125F,0
C,1260,1286,3.0
C,1287,1287,4.1
C,1288,1288,3.0
R,1289,1289,0
C,128A,128D,3.0
R,128E,128F,0
C,1290,12AE,3.0
C,12AF,12AF,4.1
C,12B0,12B0,3.0
R,12B1,12B1,0
C,12B2,12B5,3.0
R,12B6,12B7,0
C,12B8,12BE,3.0
R,12BF,12BF,0
C,12C0,12C0,3.0
R,12C1,12C1,0
C,12C2,12C5,3.0
R,12C6,12C7,0
C,12C8,12CE,3.0
C,12CF,12CF,4.1
C,12D0,12D6,3.0
R,12D7,12D7,0
C,12D8,12EE,3.0
C,12EF,12EF,4.1
C,12F0,130E,3.0
C,130F,130F,4.1
C,1310,1310,3.0
R,1311,1311,0
C,1312,1315,3.0
R,1316,1317,0
C,1318,131E,3.0
C,131F,131F,4.1
C,1320,1346,3.0
C,1347,1347,4.1
C,1348,135A,3.0
R,135B,135C,0
C,135D,135E,6.0
C,135F,1360,4.1
C,1361,137C,3.0
R,137D,137F,0
C,1380,1399,4.1
R,139A,139F,0
C,13A0,13F4,3.0
C,13F5,13F5,8.0
R,13F6,13F7,0
C,13F8,13FD,8.0
R,13FE,13FF,0
C,1400,1400,5.2
C,1401,1676,3.0
C,1677,167F,5.2
C,1680,169C,3.0
R,169D,169F,0
C,16A0,16F0,3.0
C,16F1,16F8,7.0
R,16F9,16FF,0
C,1700,170C,3.2
R,170D,170D,0
C,170E,1714,3.2
R,1715,171F,0
C,1720,1736,3.2
R,1737,173F,0
C,1740,1753,3.2
R,1754,175F,0
C,1760,176C,3.2
R,176D,176D,0
C,176E,1770,3.2
R,1771,1771,0
C,1772,1773,3.2
R,1774,177F,0
C,1780,17DC,3.0
C,17DD,17DD,4.0
R,17DE,17DF,0
C,17E0,17E9,3.0
R,17EA,17EF,0
C,17F0,17F9,4.0
R,17FA,17FF,0
C,1800,180E,3.0
R,180F,180F,0
C,1810,1819,3.0
R,181A,181F,0
C,1820,1877,3.0
C,1878,1878,11.0
R,1879,187F,0
C,1880,18A9,3.0
C,18AA,18AA,5.1
R,18AB,18AF,0
C,18B0,18F5,5.2
R,18F6,18FF,0
C,1900,191C,4.0
C,191D,191E,7.0
R,191F,191F,0
C,1920,192B,4.0
R,192C,192F,0
C,1930,193B,4.0
R,193C,193F,0
C,1940,1940,4.0
R,1941,1943,0
C,1944,196D,4.0
R,196E,196F,0
C,1970,1974,4.0
R,1975,197F,0
C,1980,19A9,4.1
C,19AA,19AB,5.2
R,19AC,19AF,0
C,19B0,19C9,4.1
R,19CA,19CF,0
C,19D0,19D9,4.1
C,19DA,19DA,5.2
R,19DB,19DD,0
C,19DE,19DF,4.1
C,19E0,19FF,4.0
C,1A00,1A1B,4.1
R,1A1C,1A1D,0
C,1A1E,1A1F,4.1
C,1A20,1A5E,5.2
R,1A5F,1A5F,0
C,1A60,1A7C,5.2
R,1A7D,1A7E,0
C,1A7F,1A89,5.2
R,1A8A,1A8F,0
C,1A90,1A99,5.2
R,1A9A,1A9F,0
C,1AA0,1AAD,5.2
R,1AAE,1AAF,0
C,1AB0,1ABE,7.0
R,1ABF,1AFF,0
C,1B00,1B4B,5.0
R,1B4C,1B4F,0
C,1B50,1B7C,5.0
R,1B7D,1B7F,0
C,1B80,1BAA,5.1
C,1BAB,1BAD,6.1
C,1BAE,1BB9,5.1
C,1BBA,1BBF,6.1
C,1BC0,1BF3,6.0
R,1BF4,1BFB,0
C,1BFC,1BFF,6.0
C,1C00,1C37,5.1
R,1C38,1C3A,0
C,1C3B,1C49,5.1
R,1C4A,1C4C,0
C,1C4D,1C7F,5.1
C,1C80,1C88,9.0
R,1C89,1C8F,0
C,1C90,1CBA,11.0
R,1CBB,1CBC,0
C,1CBD,1CBF,11.0
C,1CC0,1CC7,6.1
R,1CC8,1CCF,0
C,1CD0,1CF2,5.2
C,1CF3,1CF6,6.1
C,1CF7,1CF7,10.0
C,1CF8,1CF9,7.0
C,1CFA,1CFA,12.0
R,1CFB,1CFF,0
C,1D00,1D6B,4.0
C,1D6C,1DC3,4.1
C,1DC4,1DCA,5.0
C,1DCB,1DE6,5.1
C,1DE7,1DF5,7.0
C,1DF6,1DF9,10.0
R,1DFA,1DFA,0
C,1DFB,1DFB,9.0
C,1DFC,1DFC,6.0
C,1DFD,1DFD,5.2
C,1DFE,1DFF,5.0
C,1E00,1E9A,1.1
C,1E9B,1E9B,2.0
C,1E9C,1E9F,5.1
C,1EA0,1EF9,1.1
C,1EFA,1EFF,5.1
C,1F00,1F15,1.1
R,1F16,1F17,0
C,1F18,1F1D,1.1
R,1F1E,1F1F,0
C,1F20,1F45,1.1
R,1F46,1F47,0
C,1F48,1F4D,1.1
R,1F4E,1F4F,0
C,1F50,1F57,1.1
R,1F58,1F58,0
C,1F59,1F59,1.1
R,1F5A,1F5A,0
C,1F5B,1F5B,1.1
R,1F5C,1F5C,0
C,1F5D,1F5D,1.1
R,1F5E,1F5E,0
C,1F5F,1F7D,1.1
R,1F7E,1F7F,0
C,1F80,1FB4,1.1
R,1FB5,1FB5,0
C,1FB6,1FC4,1.1
R,1FC5,1FC5,0
C,1FC6,1FD3,1.1
R,1FD4,1FD5,0
C,1FD6,1FDB,1.1
R,1FDC,1FDC,0
C,1FDD,1FEF,1.1
R,1FF0,1FF1,0
C,1FF2,1FF4,1.1
R,1FF5,1FF5,0
C,1FF6,1FFE,1.1
R,1FFF,1FFF,0
C,2000,202E,1.1
C,202F,202F,3.0
C,2030,2046,1.1
C,2047,2047,3.2
C,2048,204D,3.0
C,204E,2052,3.2
C,2053,2054,4.0
C,2055,2056,4.1
C,2057,2057,3.2
C,2058,205E,4.1
C,205F,2063,3.2
C,2064,2064,5.1
R,2065,2065,0
C,2066,2069,6.3
C,206A,2070,1.1
C,2071,2071,3.2
R,2072,2073,0
C,2074,208E,1.1
R,208F,208F,0
C,2090,2094,4.1
C,2095,209C,6.0
R,209D,209F,0
C,20A0,20AA,1.1
C,20AB,20AB,2.0
C,20AC,20AC,2.1
C,20AD,20AF,3.0
C,20B0,20B1,3.2
C,20B2,20B5,4.1
C,20B6,20B8,5.2
C,20B9,20B9,6.0
C,20BA,20BA,6.2
C,20BB,20BD,7.0
C,20BE,20BE,8.0
C,20BF,20BF,10.0
R,20C0,20CF,0
C,20D0,20E1,1.1
C,20E2,20E3,3.0
C,20E4,20EA,3.2
C,20EB,20EB,4.1
C,20EC,20EF,5.0
C,20F0,20F0,5.1
R,20F1,20FF,0
C,2100,2138,1.1
C,2139,213A,3.0
C,213B,213B,4.0
C,213C,213C,4.1
C,213D,214B,3.2
C,214C,214C,4.1
C,214D,214E,5.0
C,214F,214F,5.1
C,2150,2152,5.2
C,2153,2182,1.1
C,2183,2183,3.0
C,2184,2184,5.0
C,2185,2188,5.1
C,2189,2189,5.2
C,218A,218B,8.0
R,218C,218F,0
C,2190,21EA,1.1
C,21EB,21F3,3.0
C,21F4,21FF,3.2
C,2200,22F1,1.1
C,22F2,22FF,3.2
C,2300,2300,1.1
C,2301,2301,3.0
C,2302,237A,1.1
C,237B,237B,3.0
C,237C,237C,3.2
C,237D,239A,3.0
C,239B,23CE,3.2
C,23CF,23D0,4.0
C,23D1,23DB,4.1
C,23DC,23E7,5.0
C,23E8,23E8,5.2
C,23E9,23F3,6.0
C,23F4,23FA,7.0
C,23FB,23FE,9.0
C,23FF,23FF,10.0
C,2400,2424,1.1
C,2425,2426,3.0
R,2427,243F,0
C,2440,244A,1.1
R,244B,245F,0
C,2460,24EA,1.1
C,24EB,24FE,3.2
C,24FF,24FF,4.0
C,2500,2595,1.1
C,2596,259F,3.2
C,25A0,25EF,1.1
C,25F0,25F7,3.0
C,25F8,25FF,3.2
C,2600,2613,1.1
C,2614,2615,4.0
C,2616,2617,3.2
C,2618,2618,4.1
C,2619,2619,3.0
C,261A,266F,1.1
C,2670,2671,3.0
C,2672,267D,3.2
C,267E,267F,4.1
C,2680,2689,3.2
C,268A,2691,4.0
C,2692,269C,4.1
C,269D,269D,5.1
C,269E,269F,5.2
C,26A0,26A1,4.0
C,26A2,26B1,4.1
C,26B2,26B2,5.0
C,26B3,26BC,5.1
C,26BD,26BF,5.2
C,26C0,26C3,5.1
C,26C4,26CD,5.2
C,26CE,26CE,6.0
C,26CF,26E1,5.2
C,26E2,26E2,6.0
C,26E3,26E3,5.2
C,26E4,26E7,6.0
